rowname	sum.taxonomy
asv.2	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.3	Eukaryota;Chordata;Actinopteri;nan;Sillaginidae;Sillago;Sillago_cf._sihama_JYP570
asv.4	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.5	Eukaryota;Chordata;Actinopteri;nan;Pomacentridae;Abudefduf;Abudefduf_bengalensis
asv.6	Eukaryota;Chordata;Actinopteri;nan;Siganidae;Siganus;Siganus_fuscescens
asv.7	Eukaryota;Chordata;Actinopteri;Beloniformes;Hemiramphidae;Hemiramphus;
asv.8	Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Malacoctenus;Malacoctenus_triangulatus
asv.12	Eukaryota;Chordata;Actinopteri;nan;Sillaginidae;Sillago;Sillago_cf._sihama_JYP570
asv.13	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;
asv.14	Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;
asv.15	Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinidae;Craterocephalus;
asv.18	Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Entomacrodus;Entomacrodus_caudofasciatus
asv.21	Eukaryota;Chordata;Actinopteri;nan;Pomacentridae;Stegastes;
asv.23	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Sparisoma;Sparisoma_axillare
asv.24	Eukaryota;Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Syngnathus;
asv.25	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.28	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Monacanthidae;Monacanthus;Monacanthus_chinensis
asv.29	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;
asv.30	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Terapontidae;Pelates;Pelates_quadrilineatus
asv.31	Eukaryota;Chordata;Actinopteri;nan;Opistognathidae;Opistognathus;
asv.32	Eukaryota;Chordata;Actinopteri;Beloniformes;Hemiramphidae;Hemiramphus;Hemiramphus_far
asv.33	Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinidae;Atherinomorus;
asv.34	Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinidae;Craterocephalus;Craterocephalus_eyresii
