organismQuantity	occurrenceStatus	recordedBy	samplingProtocol	sampleSizeValue	organismQuantityType	sampleSizeUnit	kingdom	phylum	class	order	family	genus	scientificName	scientificNameID	taxonRank	specificEpithet	occurrenceID
2562296	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	2855108	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_S-18-multi-Mi
2232165	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	3359557	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_W-22-multi-Mi
1375304	present	Hugo Gante	BLANK; eDNA expeditions citizen science sampling	1472158	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_B-14-multi-Mi
1345514	present	Hugo Gante	eDNA expeditions citizen science sampling	1472987	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_B-12-multi-Mi
1209443	present	Hugo Gante	eDNA expeditions citizen science sampling	1740448	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_B-13-multi-Mi
1126185	present	Hugo Gante	eDNA expeditions citizen science sampling	2037239	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_W-21-multi-Mi
1024647	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	1147709	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_S-18-singleplex
983281	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	1591256	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_S-18-multi-tot
934436	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	2119650	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_W-22-multi-tot
835319	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	1032641	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_W-22-singleplex
788117	present	Hugo Gante	eDNA expeditions citizen science sampling	2599740	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	nan	Sillaginidae	Sillago	Sillago_cf._sihama_JYP570	urn:lsid:marinespecies.org:taxname:126072	genus		asv.3_S-01-multi-Mi
632823	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	904704	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_B-05-multi-Mi
616994	present	Hugo Gante	eDNA expeditions citizen science sampling	1279056	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_W-17-multi-Mi
607192	present	Hugo Gante	eDNA expeditions citizen science sampling	2823421	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_B-3-multi-Mi
591675	present	Hugo Gante	eDNA expeditions citizen science sampling	1174874	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_S-06-multi-Mi
570654	present	Hugo Gante	eDNA expeditions citizen science sampling	600087	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_S-22-multi-Mi
562480	present	Hugo Gante	eDNA expeditions citizen science sampling	2494166	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_S-11-multi-Mi
537519	present	Hugo Gante	eDNA expeditions citizen science sampling	1279056	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Pomatoschistus		urn:lsid:marinespecies.org:taxname:125999	genus		asv.2_W-17-multi-Mi
535070	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	916491	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_B-05-multi-tot
413047	present	Hugo Gante	eDNA expeditions citizen science sampling	1051926	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1439_S-01-multi-tot
412914	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	468926	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_B-05-singleplex
395663	present	Hugo Gante	eDNA expeditions citizen science sampling	2099563	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1441_B-3-multi-tot
393038	present	Hugo Gante	BLANK; eDNA expeditions citizen science sampling	467876	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_W-26-multi-Mi
379368	present	Hugo Gante	BLANK; eDNA expeditions citizen science sampling	705656	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_S-22-multi-tot
374057	present	Hugo Gante	eDNA expeditions citizen science sampling	404209	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_B-12-singleplex
342067	present	Hugo Gante	eDNA expeditions citizen science sampling	644081	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_W-17-singleplex
340099	present	Hugo Gante	eDNA expeditions citizen science sampling	615472	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_B-12-multi-tot
337538	present	Hugo Gante	eDNA expeditions citizen science sampling	1065746	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1439_S-11-multi-tot
318245	present	Hugo Gante	eDNA expeditions citizen science sampling	2823421	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Blenniiformes	Labrisomidae	Malacoctenus	Malacoctenus_triangulatus	urn:lsid:marinespecies.org:taxname:281503	species	triangulatus	asv.8_B-3-multi-Mi
309070	present	Hugo Gante	eDNA expeditions citizen science sampling	2494166	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	nan	Pomacentridae	Abudefduf	Abudefduf_bengalensis	urn:lsid:marinespecies.org:taxname:212885	species	bengalensis	asv.5_S-11-multi-Mi
307309	present	Hugo Gante	eDNA expeditions citizen science sampling	2494166	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Beloniformes	Hemiramphidae	Hemiramphus		urn:lsid:marinespecies.org:taxname:125695	genus		asv.7_S-11-multi-Mi
297627	present	Hugo Gante	BLANK; eDNA expeditions citizen science sampling	308366	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.1_S-22-singleplex
291745	present	Hugo Gante	eDNA expeditions citizen science sampling	2494166	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	nan	Siganidae	Siganus	Siganus_fuscescens	urn:lsid:marinespecies.org:taxname:273912	species	fuscescens	asv.6_S-11-multi-Mi
266149	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1442_W-8-multi-tot
260080	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae						asv.4_W-8-multi-tot
