asv.6	Bacteria;Proteobacteria;Gammaproteobacteria;
asv.9	Bacteria;Proteobacteria;Alphaproteobacteria;unknown;unknown;unknown;uncultured_Alphaproteobacteria_bacterium;
asv.10	Bacteria;
asv.48	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.80	Bacteria;
asv.149	Bacteria;
asv.158	Bacteria;
asv.174	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.186	Bacteria;
asv.239	Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;
asv.243	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.246	Bacteria;Proteobacteria;Alphaproteobacteria;unknown;unknown;unknown;uncultured_Alphaproteobacteria_bacterium;
asv.260	Bacteria;
asv.294	Bacteria;
asv.313	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.334	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.352	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.364	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.368	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.380	Bacteria;
asv.386	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.388	Bacteria;Proteobacteria;Alphaproteobacteria;unknown;unknown;unknown;uncultured_Alphaproteobacteria_bacterium;
asv.413	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.423	Bacteria;Proteobacteria;Alphaproteobacteria;unknown;unknown;unknown;uncultured_Alphaproteobacteria_bacterium;
asv.436	Bacteria;
asv.438	Bacteria;
asv.442	Bacteria;unknown;unknown;unknown;unknown;unknown;
asv.449	Bacteria;Proteobacteria;Gammaproteobacteria;unknown;unknown;unknown;uncultured_Gammaproteobacteria_bacterium;
asv.455	Bacteria;
asv.491	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.494	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.503	Bacteria;
asv.505	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.508	Bacteria;
asv.523	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.535	Bacteria;unknown;unknown;unknown;unknown;unknown;
asv.546	Bacteria;
asv.581	Unknown
asv.590	Bacteria;Verrucomicrobia;unknown;unknown;unknown;unknown;uncultured_Verrucomicrobia_bacterium;
asv.602	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.603	Bacteria;Actinobacteria;Actinomycetia;unknown;unknown;unknown;uncultured_actinobacterium;
asv.618	Bacteria;Proteobacteria;Oligoflexia;Bacteriovoracales;Bacteriovoracaceae;
asv.624	Bacteria;Proteobacteria;Alphaproteobacteria;unknown;unknown;unknown;uncultured_Alphaproteobacteria_bacterium;
asv.625	Bacteria;
asv.629	Bacteria;Proteobacteria;Alphaproteobacteria;
asv.631	Bacteria;
asv.632	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.642	Bacteria;
asv.651	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.654	Bacteria;
asv.682	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.687	Bacteria;
asv.692	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.697	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.708	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.710	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.714	Bacteria;Actinobacteria;Actinomycetia;unknown;unknown;unknown;uncultured_actinobacterium;
asv.716	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.719	Bacteria;
asv.722	Bacteria;
asv.746	Archaea;
asv.754	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.765	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.775	Bacteria;Candidatus_Absconditabacteria;unknown;unknown;unknown;unknown;uncultured_candidate_division_SR1_bacterium;
asv.790	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.791	Bacteria;Proteobacteria;Deltaproteobacteria;unknown;unknown;unknown;uncultured_delta_proteobacterium;
asv.793	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.799	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.814	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.823	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.831	Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;
asv.832	Bacteria;Proteobacteria;Oligoflexia;Bacteriovoracales;Bacteriovoracaceae;Bacteriovorax;
asv.842	Bacteria;
asv.844	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.852	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.862	Bacteria;
asv.867	Bacteria;Proteobacteria;Alphaproteobacteria;unknown;unknown;unknown;uncultured_Alphaproteobacteria_bacterium;
asv.875	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.882	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.891	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.894	Bacteria;unknown;unknown;unknown;unknown;unknown;
asv.899	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.901	Bacteria;unknown;unknown;unknown;unknown;unknown;
asv.907	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.914	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.924	Bacteria;unknown;unknown;unknown;unknown;unknown;
asv.928	Bacteria;
asv.931	Bacteria;unknown;unknown;unknown;unknown;unknown;
asv.936	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.937	Unknown
asv.963	Bacteria;
asv.972	Bacteria;
asv.1001	Bacteria;unknown;unknown;unknown;unknown;unknown;
asv.1026	Bacteria;Proteobacteria;Deltaproteobacteria;
asv.1028	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1035	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1052	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1054	Bacteria;unknown;unknown;unknown;unknown;unknown;
asv.1067	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1074	Bacteria;
asv.1076	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1077	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1093	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1101	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
