asv	sum.taxonomy	identificationRemarks
1	asv.1	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.97;0.97;0.97;0.92;0.92. No VSEARCH hits at 0.97 identity.
2	asv.2	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Halichoeres	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Halichoeres;s__Halichoeres_radiatus, confidences 1;1;1;1;1;1;1;0.74. No VSEARCH hits at 0.97 identity.
3	asv.3	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Sparisoma;s__Sparisoma_axillare	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Sparisoma;s__Sparisoma_axillare, confidences 1;1;1;1;1;1;1;1. No VSEARCH hits at 0.97 identity.
4	asv.4	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Holocentriformes;f__Holocentridae;g__Sargocentron;s__Sargocentron_spiniferum, confidences 1;1;0.98;0.64;0.21;0.21;0.21;0.11. No VSEARCH hits at 0.97 identity.
5	asv.5	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;0.98;0.97;0.78;0.74;0.73;0.54;0.54. No VSEARCH hits at 0.97 identity.
6	asv.6	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Serranidae;g__Cephalopholis;s__Cephalopholis_urodeta, confidences 1;1;0.99;0.74;0.33;0.27;0.1;0.02. No VSEARCH hits at 0.97 identity.
7	asv.7	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.85;0.74;0.68;0.53;0.53. No VSEARCH hits at 0.97 identity.
8	asv.8	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Blenniiformes;f__Blenniidae;g__Rhabdoblennius;s__Rhabdoblennius_nitidus, confidences 1;1;0.97;0.79;0.05;0.05;0.02;0.02. No VSEARCH hits at 0.97 identity.
9	asv.9	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.85;0.79;0.79;0.73;0.73. No VSEARCH hits at 0.97 identity.
10	asv.10	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Cichliformes;f__Cichlidae;g__Herichthys;s__Herichthys_cyanoguttatus, confidences 1;1;0.97;0.59;0.03;0.03;0.01;0.01. No VSEARCH hits at 0.97 identity.
11	asv.11	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;0.97;0.76;0.62;0.53;0.42;0.42. No VSEARCH hits at 0.97 identity.
12	asv.12	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Tetraodontiformes;f__Tetraodontidae;g__Tetraodon;s__Tetraodon_miurus, confidences 1;1;0.91;0.76;0.2;0.18;0.15;0.1. No VSEARCH hits at 0.97 identity.
13	asv.13	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;0.99;0.89;0.88;0.88;0.82;0.82. No VSEARCH hits at 0.97 identity.
14	asv.14	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Spalacidae;g__Nannospalax;s__Nannospalax_ceyhanus, confidences 1;0.98;0.88;0.53;0.22;0.12;0.04;0.02. No VSEARCH hits at 0.97 identity.
15	asv.15	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Sparisoma;s__Sparisoma_axillare, confidences 1;1;0.99;0.94;0.55;0.55;0.46;0.46. No VSEARCH hits at 0.97 identity.
16	asv.16	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Sparisoma;s__Sparisoma_axillare, confidences 1;0.99;0.93;0.74;0.3;0.3;0.25;0.08. No VSEARCH hits at 0.97 identity.
17	asv.17	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.89;0.8;0.8;0.75;0.75. No VSEARCH hits at 0.97 identity.
