x
1	Bacteriovoracales
2	c_Chordata
3	Casuariiformes
4	Chaetodontiformes
5	Chloroparvula_japonica
6	Chloropicaceae
7	Chloropicales
8	Chloropicophyceae
9	Dromaiidae
10	Dromaius
11	Dromaius_novaehollandiae
12	Eukaryota
13	eukaryote_SCGC_AAA074-I08
14	Gerreiformes
15	Hyphomonadales
16	Labriformes
17	Lutjaniformes
18	o_Actinopteri
19	Oligoflexaceae
20	Oligoflexales
21	Oligoflexia
22	Oligoflexus
23	Oligoflexus_tunisiensis
24	Ophichthus_zophistius
25	Pan
26	Pan_paniscus
27	Planctomycetia
28	Rhynchobatidae
29	Roseobacteraceae
30	Salipiger
31	Sillago_cf._sihama_JYP570
