organismQuantity	occurrenceStatus	recordedBy	samplingProtocol	sampleSizeValue	organismQuantityType	sampleSizeUnit	phylum	class	order	family	genus	identificationRemarks	scientificName	scientificNameID	taxonRank	occurrenceID	materialSampleID
215282	present	Hugo Gante	eDNA expeditions citizen science sampling	475525	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JX266265,KP900754,JQ446410,KJ801473,JN415484,JN160804,KY748238,DQ867014,JN858956,HM246152, identities 100,100,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6, taxonomy Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Homo_sapiens,Thrips_alliorum, consensus Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	asv.1_EE0376	EE0376
205885	present	Hugo Gante	eDNA expeditions citizen science sampling	389376	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JX266265,KP900754,JQ446410,KJ801473,JN415484,JN160804,KY748238,DQ867014,JN858956,HM246152, identities 100,100,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6, taxonomy Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Homo_sapiens,Thrips_alliorum, consensus Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	asv.1_EE0381	EE0381
200099	present	Hugo Gante	eDNA expeditions citizen science sampling	323633	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	asv.3_EE0375	EE0375
156091	present	Hugo Gante	eDNA expeditions citizen science sampling	594720	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Artiodactyla	Hippopotamidae	Hippopotamus	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Artiodactyla;Hippopotamidae;Hippopotamus;Hippopotamus_amphibius, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits AF107223,NC_000889,AJ010813, identities 100,100,99.2, taxonomy Hippopotamus_amphibius,Hippopotamus_amphibius,Hippopotamus_amphibius, consensus Eukaryota;Chordata;Mammalia;Artiodactyla;Hippopotamidae;Hippopotamus;Hippopotamus_amphibius.	Hippopotamus amphibius	urn:lsid:marinespecies.org:taxname:1666343	species	asv.4_EE0371	EE0371
117021	present	Hugo Gante	eDNA expeditions citizen science sampling	594720	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits KM986624,JX266263,KM986623,KY751400,DQ304903,MF497522,AF347009,KC533502,MH981671,D38112, identities 100,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6, taxonomy Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens, consensus Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	asv.2_EE0371	EE0371
96274	present	Hugo Gante	eDNA expeditions citizen science sampling	594720	DNA Sequence reads	DNA Sequence reads	Chordata	Teleostei	Gobiiformes	Eleotridae	Hypseleotris	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Gobiiformes;Eleotridae;Hypseleotris;Hypseleotris_cyprinoides, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits OM971860, identities 99.2, taxonomy Hypseleotris_cyprinoides, consensus Eukaryota;Chordata;Actinopteri;Gobiiformes;Eleotridae;Hypseleotris;Hypseleotris_cyprinoides.	Hypseleotris cyprinoides	urn:lsid:marinespecies.org:taxname:278158	species	asv.6_EE0371	EE0371
86931	present	Hugo Gante	eDNA expeditions citizen science sampling	213125	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits KM986624,JX266263,KM986623,KY751400,DQ304903,MF497522,AF347009,KC533502,MH981671,D38112, identities 100,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6, taxonomy Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens, consensus Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	asv.2_EE0372	EE0372
77948	present	Hugo Gante	eDNA expeditions citizen science sampling	436813	DNA Sequence reads	DNA Sequence reads	Chordata	Teleostei	Callionymiformes	Callionymidae		Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Syngnathiformes;Callionymidae;Repomucenus;Repomucenus_curvicornis, confidences 1;1;1;0.94;0.94;0.33;0.33. No VSEARCH hits at 0.97 identity.	Callionymidae	urn:lsid:marinespecies.org:taxname:125522	family	asv.7_EE0373	EE0373
74267	present	Hugo Gante	eDNA expeditions citizen science sampling	594720	DNA Sequence reads	DNA Sequence reads	Chordata	Teleostei	Gobiiformes	Eleotridae	Hypseleotris	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Gobiiformes;Eleotridae;Hypseleotris;Hypseleotris_cyprinoides, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits OM971860, identities 99.6, taxonomy Hypseleotris_cyprinoides, consensus Eukaryota;Chordata;Actinopteri;Gobiiformes;Eleotridae;Hypseleotris;Hypseleotris_cyprinoides.	Hypseleotris cyprinoides	urn:lsid:marinespecies.org:taxname:278158	species	asv.8_EE0371	EE0371
48866	present	Hugo Gante	eDNA expeditions citizen science sampling	436813	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits KM986624,JX266263,KM986623,KY751400,DQ304903,MF497522,AF347009,KC533502,MH981671,D38112, identities 100,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6, taxonomy Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens, consensus Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	asv.2_EE0373	EE0373
