organismQuantity	occurrenceStatus	recordedBy	samplingProtocol	sampleSizeValue	organismQuantityType	sampleSizeUnit	kingdom	phylum	class	order	family	genus	identificationRemarks	scientificName	scientificNameID	taxonRank	occurrenceID	materialSampleID
378445	present	Hugo Gante	eDNA expeditions citizen science sampling	1067763	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.97;0.97;0.97;0.92;0.92. No VSEARCH hits at 0.97 identity.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	asv.1_EE0435	EE0435
350379	present	Hugo Gante	eDNA expeditions citizen science sampling	1067763	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.98;0.96;0.95;0.94;0.94. Confirmation with VSEARCH against the 12S_ncbi_teleo database at 0.97 similarity: hits KY411495,MN503427,JQ704035,JN160804,KF683087,MH176355,JQ705512,HM357814,AP013187,KU867622, identities 100,100,100,100,100,100,100,98.6,98.6,98.6, taxonomy Homo_sapiens,Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Homo_heidelbergensis,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens, consensus Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	asv.231_EE0435	EE0435
233174	present	Hugo Gante	eDNA expeditions citizen science sampling	633197	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.97;0.97;0.97;0.92;0.92. No VSEARCH hits at 0.97 identity.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	asv.1_EE0446	EE0446
231573	present	Hugo Gante	eDNA expeditions citizen science sampling	1067763	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata					Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__undef_Chordata;o__Testudines;f__Testudinidae;g__Testudo;s__Testudo_horsfieldii, confidences 1;1;0.95;0.52;0.52;0.41;0.24;0.22. No VSEARCH hits at 0.97 identity.	Chordata	urn:lsid:marinespecies.org:taxname:1821	phylum	asv.758_EE0435	EE0435
216525	present	Hugo Gante	eDNA expeditions citizen science sampling	633197	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.98;0.96;0.95;0.94;0.94. Confirmation with VSEARCH against the 12S_ncbi_teleo database at 0.97 similarity: hits KY411495,MN503427,JQ704035,JN160804,KF683087,MH176355,JQ705512,HM357814,AP013187,KU867622, identities 100,100,100,100,100,100,100,98.6,98.6,98.6, taxonomy Homo_sapiens,Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Homo_heidelbergensis,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens, consensus Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	asv.231_EE0446	EE0446
92866	present	Hugo Gante	eDNA expeditions citizen science sampling	633197	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata					Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__undef_Chordata;o__Testudines;f__Testudinidae;g__Testudo;s__Testudo_horsfieldii, confidences 1;1;0.95;0.52;0.52;0.41;0.24;0.22. No VSEARCH hits at 0.97 identity.	Chordata	urn:lsid:marinespecies.org:taxname:1821	phylum	asv.758_EE0446	EE0446
48617	present	Hugo Gante	eDNA expeditions citizen science sampling	167459	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.97;0.97;0.97;0.92;0.92. No VSEARCH hits at 0.97 identity.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	asv.1_EE0451	EE0451
44496	present	Hugo Gante	eDNA expeditions citizen science sampling	167459	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.98;0.96;0.95;0.94;0.94. Confirmation with VSEARCH against the 12S_ncbi_teleo database at 0.97 similarity: hits KY411495,MN503427,JQ704035,JN160804,KF683087,MH176355,JQ705512,HM357814,AP013187,KU867622, identities 100,100,100,100,100,100,100,98.6,98.6,98.6, taxonomy Homo_sapiens,Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Homo_heidelbergensis,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens, consensus Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	asv.231_EE0451	EE0451
8802	present	Hugo Gante	eDNA expeditions citizen science sampling	167459	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata					Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__undef_Chordata;o__Testudines;f__Testudinidae;g__Testudo;s__Testudo_horsfieldii, confidences 1;1;0.95;0.52;0.52;0.41;0.24;0.22. No VSEARCH hits at 0.97 identity.	Chordata	urn:lsid:marinespecies.org:taxname:1821	phylum	asv.758_EE0451	EE0451
5745	present	Hugo Gante	eDNA expeditions citizen science sampling	167459	DNA Sequence reads	DNA Sequence reads	Bacteria						Identification based on blastn against the full nt database (downloaded on 2021-11-25), and with basta-lca with filtering on: 95 percent identity, 5e-13 e-value, and 70 alignment length	Bacteria	urn:lsid:marinespecies.org:taxname:6	kingdom	asv.40_EE0451	EE0451
