organismQuantity	occurrenceStatus	recordedBy	samplingProtocol	sampleSizeValue	organismQuantityType	sampleSizeUnit	phylum	class	order	family	genus	identificationRemarks	scientificName	scientificNameID	taxonRank	occurrenceID	materialSampleID
540950	present	Hugo Gante	eDNA expeditions citizen science sampling	1403929	DNA Sequence reads	DNA Sequence reads	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Identification based on blastn against the full nt database (downloaded on 2021-11-25), and with basta-lca with filtering on: 95 percent identity, 5e-13 e-value, and 150 alignment length	Vibrio alginolyticus	urn:lsid:marinespecies.org:taxname:480251	species	asv.6_EE0017	EE0017
355331	present	Hugo Gante	eDNA expeditions citizen science sampling	1314815	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Carnivora	Phocidae	Mirounga	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Carnivora;Phocidae;Mirounga;Mirounga_leonina, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 12S_mimammal_ncbi_CRABS_202311 database at 0.97 similarity: hits AY377291,AM181023, identities 99.4,99.4, taxonomy Mirounga_leonina,Mirounga_leonina, consensus Eukaryota;Chordata;Mammalia;Carnivora;Phocidae;Mirounga;Mirounga_leonina.	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	species	asv.4_EE0022	EE0022
292881	present	Hugo Gante	eDNA expeditions citizen science sampling	1529914	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Carnivora	Otariidae		Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Carnivora;Otariidae;Arctocephalus;Arctocephalus_pusillus, confidences 1;1;1;1;1;0.72;0.68. Confirmation with VSEARCH against the 12S_mimammal_ncbi_CRABS_202311 database at 0.97 similarity: hits AM181018, identities 97.6, taxonomy Arctocephalus_pusillus, consensus Eukaryota;Chordata;Mammalia;Carnivora;Otariidae;Arctocephalus;Arctocephalus_pusillus.	Otariidae	urn:lsid:marinespecies.org:taxname:231386	family	asv.1_EE0004	EE0004
249927	present	Hugo Gante	eDNA expeditions citizen science sampling	1314815	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Carnivora	Phocidae	Mirounga	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Carnivora;Phocidae;Mirounga;Mirounga_leonina, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 12S_mimammal_ncbi_CRABS_202311 database at 0.97 similarity: hits AY377291,AM181023, identities 99.4,99.4, taxonomy Mirounga_leonina,Mirounga_leonina, consensus Eukaryota;Chordata;Mammalia;Carnivora;Phocidae;Mirounga;Mirounga_leonina.	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	species	asv.11_EE0022	EE0022
237251	present	Hugo Gante	eDNA expeditions citizen science sampling	1120649	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Carnivora	Otariidae		Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Carnivora;Otariidae;Arctocephalus;Arctocephalus_pusillus, confidences 1;1;1;1;1;0.72;0.68. Confirmation with VSEARCH against the 12S_mimammal_ncbi_CRABS_202311 database at 0.97 similarity: hits AM181018, identities 97.6, taxonomy Arctocephalus_pusillus, consensus Eukaryota;Chordata;Mammalia;Carnivora;Otariidae;Arctocephalus;Arctocephalus_pusillus.	Otariidae	urn:lsid:marinespecies.org:taxname:231386	family	asv.1_EE0019	EE0019
233283	present	Hugo Gante	eDNA expeditions citizen science sampling	1207398	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Carnivora	Otariidae		Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Carnivora;Otariidae;Arctocephalus;Arctocephalus_pusillus, confidences 1;1;1;1;1;0.72;0.68. Confirmation with VSEARCH against the 12S_mimammal_ncbi_CRABS_202311 database at 0.97 similarity: hits AM181018, identities 97.6, taxonomy Arctocephalus_pusillus, consensus Eukaryota;Chordata;Mammalia;Carnivora;Otariidae;Arctocephalus;Arctocephalus_pusillus.	Otariidae	urn:lsid:marinespecies.org:taxname:231386	family	asv.1_EE0001	EE0001
216315	present	Hugo Gante	eDNA expeditions citizen science sampling	1403929	DNA Sequence reads	DNA Sequence reads	Chordata					Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Syngnathiformes;Aulostomidae;Aulostomus;Aulostomus_maculatus, confidences 1;0.92;0.43;0.15;0.15;0.15;0.15. No VSEARCH hits at 0.97 identity.	Chordata	urn:lsid:marinespecies.org:taxname:1821	phylum	asv.16_EE0017	EE0017
208240	present	Hugo Gante	eDNA expeditions citizen science sampling	1529914	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Carnivora	Otariidae		Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Carnivora;Otariidae;Arctocephalus;Arctocephalus_pusillus, confidences 1;1;1;1;1;0.72;0.68. Confirmation with VSEARCH against the 12S_mimammal_ncbi_CRABS_202311 database at 0.97 similarity: hits AM181018, identities 97.6, taxonomy Arctocephalus_pusillus, consensus Eukaryota;Chordata;Mammalia;Carnivora;Otariidae;Arctocephalus;Arctocephalus_pusillus.	Otariidae	urn:lsid:marinespecies.org:taxname:231386	family	asv.3_EE0004	EE0004
189591	present	Hugo Gante	eDNA expeditions citizen science sampling	1314815	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Carnivora	Phocidae	Mirounga	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Carnivora;Phocidae;Mirounga;Mirounga_leonina, confidences 1;1;1;1;1;1;0.99. Confirmation with VSEARCH against the 12S_mimammal_ncbi_CRABS_202311 database at 0.97 similarity: hits AY377291,AM181023, identities 99.4,99.4, taxonomy Mirounga_leonina,Mirounga_leonina, consensus Eukaryota;Chordata;Mammalia;Carnivora;Phocidae;Mirounga;Mirounga_leonina.	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	species	asv.14_EE0022	EE0022
188034	present	Hugo Gante	eDNA expeditions citizen science sampling	767363	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;0.98;0.98;0.95;0.95. Confirmation with VSEARCH against the 12S_mimammal_ncbi_CRABS_202311 database at 0.97 similarity: hits KY411495,KC911343,DQ112748,MN503404,JQ702405,JQ702343,JN160804,MF464491,KC914580,MZ846685, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Homo_sapiens,Homo_sapiens,Homo_sapiens, consensus Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	asv.2_EE0147	EE0147
