asv	sum.taxonomy	identificationRemarks
1	asv.1	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.
2	asv.2	Eukaryota;Echinodermata;Ophiuroidea;Amphilepidida;Ophiactidae;Ophiactis	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Echinodermata;Ophiuroidea;Amphilepidida;Ophiactidae;Ophiactis;Ophiactis_macrolepidota, confidences 1;0.87;0.86;0.86;0.86;0.86;0.59. No VSEARCH hits at 0.97 identity.
3	asv.3	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Coilia;Coilia_ramcarati	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Coilia;Coilia_ramcarati, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits KX768977,KX768975, identities 100,99.2, taxonomy Coilia_ramcarati,Coilia_ramcarati, consensus Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Coilia;Coilia_ramcarati.
4	asv.4	Eukaryota;Chordata;Actinopteri;Siluriformes;Ariidae;Arius	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Siluriformes;Ariidae;Arius;Arius_dispar, confidences 1;1;1;1;1;0.94;0.55. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits FJ626066,NC_048969,KJ533177,MG076910,KJ533186,MF595154,KM508067,DQ990624,DQ990599,FJ626088, identities 99.6,99.2,99.2,99.2,98.8,98,98,98,98,98, taxonomy Arius_oetik,Arius_dispar,Arius_manillensis,Netuma_thalassina,Arius_dispar,Genidens_barbus,Hemiarius_dioctes,Cryptarius_truncatus,Ariopsis_felis,Potamosilurus_macrorhynchus, consensus Eukaryota;Chordata;Actinopteri;Siluriformes;Ariidae.
5	asv.5	Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Chelon;Chelon_melinopterus, confidences 1;1;1;1;1;0.78;0.78. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits KF375085,JQ060873, identities 100,100, taxonomy Paramugil_parmatus,Chelon_melinopterus, consensus Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae.
6	asv.6	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;0.99;0.99;0.99;0.99;0.99;0.99. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.
7	asv.7	Eukaryota;Chordata;Actinopteri;Chaetodontiformes;Leiognathidae;Nuchequula;Nuchequula_blochii	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Chaetodontiformes;Leiognathidae;Nuchequula;Nuchequula_blochii, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits EU741826, identities 100, taxonomy Nuchequula_blochii, consensus Eukaryota;Chordata;Actinopteri;Chaetodontiformes;Leiognathidae;Nuchequula;Nuchequula_blochii.
8	asv.8	Eukaryota;Chordata;Mammalia;Primates	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Cercopithecidae;Lophocebus;Lophocebus_aterrimus, confidences 1;0.98;0.97;0.95;0.5;0.22;0.22. No VSEARCH hits at 0.97 identity.
9	asv.9	Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Moolgarda	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Moolgarda;Moolgarda_cunnesius, confidences 1;1;1;1;1;0.89;0.65. No VSEARCH hits at 0.97 identity.
10	asv.10	Eukaryota;Chordata;Actinopteri;Siluriformes;Ariidae	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Siluriformes;Ariidae;Brustiarius;Brustiarius_proximus, confidences 1;1;1;1;1;0.36;0.36. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits NC_048969,KJ533177,MG076910,FJ626084,FJ626083,KJ533186,KM508067,FJ626086,FJ626061,FJ013204, identities 98.4,98.4,98.4,98,98,98,97.7,97.7,97.7,97.3, taxonomy Arius_dispar,Arius_manillensis,Netuma_thalassina,Neoarius_aff._graeffei_1_RB-2009,Neoarius_berneyi,Arius_dispar,Hemiarius_dioctes,Cinetodus_crassilabris,Brustiarius_proximus,Neoarius_graeffei, consensus Eukaryota;Chordata;Actinopteri;Siluriformes;Ariidae.
11	asv.11	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Stolephorus;Stolephorus_dubiosus	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Stolephorus;Stolephorus_dubiosus, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits AP011567,KX768967,AP011566, identities 100,100,98.1, taxonomy Stolephorus_waitei,Stolephorus_dubiosus,Stolephorus_chinensis, consensus Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Stolephorus.
12	asv.12	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Setipinna;Setipinna_tenuifilis	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Setipinna;Setipinna_tenuifilis, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits KU904337,MH465027,NC_051981, identities 100,99.2,99.2, taxonomy Setipinna_tenuifilis,Setipinna_taty,Setipinna_tenuifilis, consensus Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Setipinna;Setipinna_tenuifilis.
