organismQuantity	occurrenceStatus	recordedBy	samplingProtocol	sampleSizeValue	organismQuantityType	sampleSizeUnit	phylum	class	order	family	genus	identificationRemarks	scientificName	scientificNameID	taxonRank	occurrenceID	materialSampleID
310975	present	Hugo Gante	eDNA expeditions citizen science sampling	365389	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	asv.1_EE0415	EE0415
117902	present	Hugo Gante	eDNA expeditions citizen science sampling	499604	DNA Sequence reads	DNA Sequence reads	Chordata	Teleostei	Mugiliformes	Mugilidae	Mugil	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Mugil;Mugil_curema, confidences 1;1;1;1;1;1;0.98. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits EU239805,JQ060829,HQ131876,JX000548,EF397080,JX000549,EF397081,EF397073, identities 100,100,100,99.6,99.6,99.2,99.2,99.2, taxonomy Mugil_gyrans,Mugil_curema,Mugil_curema,Mugil_curema,Mugil_curema,Mugil_curema,Mugil_curema,Mugil_curema, consensus Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Mugil;Mugil_curema.	Mugil curema	urn:lsid:marinespecies.org:taxname:159416	species	asv.2_EE0409	EE0409
101140	present	Hugo Gante	eDNA expeditions citizen science sampling	499604	DNA Sequence reads	DNA Sequence reads	Chordata	Teleostei	Clupeiformes	Dorosomatidae	Harengula	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Harengula;Harengula_jaguana, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits NC_016667,OP057010,EU552780, identities 100,99.6,99.6, taxonomy Harengula_jaguana,Harengula_clupeola,Harengula_jaguana, consensus Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Harengula;Harengula_jaguana.	Harengula jaguana	urn:lsid:marinespecies.org:taxname:277551	species	asv.3_EE0409	EE0409
99876	present	Hugo Gante	eDNA expeditions citizen science sampling	138424	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits KP340156,JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215, identities 100,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6, taxonomy Homo_sapiens,Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum, consensus Eukaryota.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	asv.4_EE0410	EE0410
76449	present	Hugo Gante	eDNA expeditions citizen science sampling	160195	DNA Sequence reads	DNA Sequence reads						Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Arthropoda;Insecta;Ephemeroptera;Baetidae;Dabulamanzia;Dabulamanzia_duci, confidences 1;0.41;0.27;0.06;0.06;0.03;0. No VSEARCH hits at 0.97 identity.	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	kingdom	asv.6_EE0412	EE0412
67651	present	Hugo Gante	eDNA expeditions citizen science sampling	163546	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	asv.1_EE0411	EE0411
52932	present	Hugo Gante	eDNA expeditions citizen science sampling	307622	DNA Sequence reads	DNA Sequence reads	Chordata	Teleostei	Mugiliformes	Mugilidae	Mugil	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Mugil;Mugil_curema, confidences 1;1;1;1;1;1;0.98. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits EU239805,JQ060829,HQ131876,JX000548,EF397080,JX000549,EF397081,EF397073, identities 100,100,100,99.6,99.6,99.2,99.2,99.2, taxonomy Mugil_gyrans,Mugil_curema,Mugil_curema,Mugil_curema,Mugil_curema,Mugil_curema,Mugil_curema,Mugil_curema, consensus Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Mugil;Mugil_curema.	Mugil curema	urn:lsid:marinespecies.org:taxname:159416	species	asv.2_EE0408	EE0408
46679	present	Hugo Gante	eDNA expeditions citizen science sampling	307622	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	asv.1_EE0408	EE0408
42466	present	Hugo Gante	eDNA expeditions citizen science sampling	499604	DNA Sequence reads	DNA Sequence reads	Chordata	Elasmobranchii	Myliobatiformes	Dasyatidae	Hypanus	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Dasyatidae;Hypanus;Hypanus_americanus, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits OP057101, identities 100, taxonomy Hypanus_americanus, consensus Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Dasyatidae;Hypanus;Hypanus_americanus.	Hypanus americanus	urn:lsid:marinespecies.org:taxname:1042856	species	asv.5_EE0409	EE0409
40456	present	Hugo Gante	eDNA expeditions citizen science sampling	53936	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	asv.1_EE0413	EE0413
