asv	sum.taxonomy	identificationRemarks
1	asv.1	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.
2	asv.2	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Harengula;Harengula_jaguana	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Harengula;Harengula_jaguana, confidences 1;1;1;1;1;1;0.99. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits EU552780, identities 97.3, taxonomy Harengula_jaguana, consensus Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Harengula;Harengula_jaguana.
3	asv.3	Eukaryota;Chordata;Actinopteri;o_Actinopteri;Pomacentridae;Abudefduf;Abudefduf_saxatilis	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;o_Actinopteri;Pomacentridae;Abudefduf;Abudefduf_saxatilis, confidences 1;1;1;1;1;1;0.99. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits AF285942,AF112577,KF925347,OP035322,AF285943,FJ616398,JF457202,AY365120,FJ616403,JF457203, identities 100,99.6,99.6,98.5,98.1,98.1,98.1,97.8,97.8,97.8, taxonomy Abudefduf_saxatilis,Abudefduf_saxatilis,Abudefduf_saxatilis,Abudefduf_abdominalis,Abudefduf_sexfasciatus,Abudefduf_hoefleri,Abudefduf_margariteus,Abudefduf_vaigiensis,Abudefduf_sexfasciatus,Abudefduf_margariteus, consensus Eukaryota;Chordata;Actinopteri;Pomacentridae;Abudefduf.
4	asv.4	Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Entomacrodus;Entomacrodus_caudofasciatus	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Entomacrodus;Entomacrodus_caudofasciatus, confidences 1;1;1;1;1;1;0.92. No VSEARCH hits at 0.97 identity.
5	asv.5	Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus_chirurgus, confidences 1;1;1;1;1;0.96;0.79. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits OP056937,NC_082571,OP035278,AY057292,OP035153,AY141464, identities 100,99.2,99.2,97.3,97.3,97.2, taxonomy Acanthurus_chirurgus,Acanthurus_tractus,Acanthurus_bahianus,Acanthurus_thompsoni,Acanthurus_coeruleus,Ctenochaetus_striatus, consensus Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus.
6	asv.6	Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Scartella;Scartella_cristata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Scartella;Scartella_cristata, confidences 1;1;1;1;1;1;0.99. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits AY098845,OP056817, identities 98.9,98.5, taxonomy Scartella_cristata,Scartella_cristata, consensus Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Scartella;Scartella_cristata.
7	asv.7	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Sparisoma	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Sparisoma;Sparisoma_axillare, confidences 1;1;1;1;1;1;0.64. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits KC526953,OP056868,U95774,AF115312, identities 100,98.5,98.1,97.3, taxonomy Sparisoma_axillare,Sparisoma_rubripinne,Sparisoma_rubripinne,Sparisoma_rubripinne, consensus Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Sparisoma;Sparisoma_rubripinne.
8	asv.8	Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Malacoctenus;Malacoctenus_triangulatus	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Malacoctenus;Malacoctenus_triangulatus, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits AF324189, identities 97.7, taxonomy Malacoctenus_triangulatus, consensus Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Malacoctenus;Malacoctenus_triangulatus.
9	asv.9	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Thalassoma	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Thalassoma;Thalassoma_bifasciatum, confidences 1;1;1;1;1;0.99;0.56. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits OP056853,AY279753,AY329003, identities 98.8,98.5,98.1, taxonomy Thalassoma_bifasciatum,Thalassoma_bifasciatum,Thalassoma_noronhanum, consensus Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Thalassoma;Thalassoma_bifasciatum.
10	asv.10	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_garnoti, confidences 1;1;1;1;1;1;0.47. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits AY279710,MG665342,MG665348,AY279702,MG665343,AY850882,AY279708,MG665355,MG665346,KY815400, identities 100,100,99.6,98.5,98.5,98.5,98.1,98.1,98.1,98.1, taxonomy Halichoeres_radiatus,Halichoeres_brasiliensis,Halichoeres_garnoti,Halichoeres_bivittatus,Halichoeres_chierchiae,Halichoeres_garnoti,Halichoeres_nicholsi,Halichoeres_poeyi,Halichoeres_discolor,Halichoeres_brasiliensis, consensus Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres.
